Latitude,Longitude,Fossil_Name,Early_Age,Late_Age,Environment,Country_Code
27.033333,1.083333,Carcharodontosaurus saharicus,145.0,100.5,terrestrial indet.,DZ
27.033333,1.083333,Rebbachisauridae,145.0,100.5,terrestrial indet.,DZ
26.766666,0.416667,Rebbachisauridae,145.0,100.5,terrestrial indet.,DZ
26.766666,0.816667,Rebbachisauridae,145.0,100.5,terrestrial indet.,DZ
32.808334,10.283333,Theropoda,125.77,100.5,terrestrial indet.,TN
32.916668,10.191667,Theropoda,125.77,100.5,deltaic indet.,TN
33.895557,-94.826385,Acrocanthosaurus atokensis,121.4,113.0,terrestrial indet.,US
34.180000,-95.806389,Acrocanthosaurus atokensis,121.4,113.0,terrestrial indet.,US
34.180000,-95.792221,Acrocanthosaurus atokensis,121.4,113.0,terrestrial indet.,US
31.983334,10.750000,Dinosauria,125.77,100.5,terrestrial indet.,TN
28.166668,7.066667,Dinosauria,113.0,93.9,terrestrial indet.,DZ
28.150000,8.175278,Carcharodontosaurus saharicus,113.0,93.9,terrestrial indet.,DZ
28.150000,8.175278,Rebbachisauridae,113.0,93.9,terrestrial indet.,DZ
16.464561,8.011679,Theropoda,145.0,132.6,terrestrial indet.,NE
16.464561,8.011679,Rebbachisauridae,145.0,132.6,terrestrial indet.,NE
16.632231,9.509186,Theropoda,121.4,113.0,terrestrial indet.,NE
16.632231,9.509186,Rebbachisauridae,121.4,113.0,terrestrial indet.,NE
16.632231,9.509186,Carcharodontosaurus saharicus,121.4,113.0,terrestrial indet.,NE
16.129169,10.222018,Carcharodontosaurus saharicus,113.0,100.5,terrestrial indet.,NE
16.641520,9.567594,Rebbachisauridae,113.0,100.5,terrestrial indet.,NE
16.449305,9.228752,Carcharodontosaurus saharicus,113.0,100.5,terrestrial indet.,NE
31.950001,12.016667,Theropoda,145.0,93.9,terrestrial indet.,LY
32.950001,10.283333,Carcharodontosaurus saharicus,119.5,109.9,terrestrial indet.,TN
32.950001,10.283333,Rebbachisauridae,119.5,109.9,terrestrial indet.,TN
16.512241,2.258956,Titanosauridae,145.0,100.5,terrestrial indet.,ML
16.341337,8.050767,Theropoda,145.0,132.6,terrestrial indet.,NE
16.341337,8.050767,Rebbachisauridae,145.0,132.6,terrestrial indet.,NE
16.790960,5.852992,Bahariasaurus ingens,113.0,93.9,terrestrial indet.,NE
16.790960,5.852992,Rebbachisauridae,113.0,93.9,terrestrial indet.,NE
16.790960,5.852992,Aegyptosaurus baharijensis,113.0,93.9,terrestrial indet.,NE
17.483332,5.583333,Rebbachisauridae,113.0,93.9,terrestrial indet.,NE
17.708801,5.797784,Bahariasaurus ingens,106.2,93.9,deltaic indet.,NE
17.708801,5.797784,Tetanurae,106.2,93.9,deltaic indet.,NE
17.708801,5.797784,Carcharodontosaurus saharicus,106.2,93.9,deltaic indet.,NE
17.708801,5.797784,Theropoda,106.2,93.9,deltaic indet.,NE
17.708801,5.797784,Spinostropheus gautieri,106.2,93.9,deltaic indet.,NE
17.708801,5.797784,Rebbachisauridae,106.2,93.9,deltaic indet.,NE
17.708801,5.797784,Aegyptosaurus baharijensis,106.2,93.9,deltaic indet.,NE
17.708801,5.797784,Stegosauria,106.2,93.9,deltaic indet.,NE
28.533333,9.050000,Rebbachisauridae,145.0,93.9,terrestrial indet.,DZ
16.799726,6.932281,Rebbachisauridae,145.0,132.6,terrestrial indet.,NE
16.799726,6.932281,Macronaria,145.0,132.6,terrestrial indet.,NE
16.799726,6.932281,Aegyptosaurus baharijensis,145.0,132.6,terrestrial indet.,NE
27.269917,2.496275,Sauropoda,145.0,93.9,terrestrial indet.,DZ
27.291157,2.576439,Rebbachisauridae,145.0,93.9,terrestrial indet.,DZ
19.317499,6.381111,Rebbachisauridae,145.0,121.4,terrestrial indet.,NE
19.317499,6.381111,Spinostropheus gautieri,145.0,121.4,terrestrial indet.,NE
19.317499,6.381111,Theropoda,145.0,121.4,terrestrial indet.,NE
19.317499,6.381111,Carcharodontosaurus saharicus,145.0,121.4,terrestrial indet.,NE
19.317499,6.381111,Tetanurae,145.0,121.4,terrestrial indet.,NE
51.623055,-2.428333,Agnosphitys cromhallensis,237.0,227.0,fissure fill,UK
36.780556,-110.525002,Segisaurus halli,192.9,174.7,dune,US
-29.666668,-53.750000,Saturnalia tupiniquim,237.0,208.5,wet floodplain,BR
